Sample ID;1D_11;1D_12;1D_13;1D_14;1W_10;1W_7;1W_8;1W_9;2D_19;2D_20;2D_21;2D_22;2W_15;2W_16;2W_17;2W_18;3D_27;3D_28;3D_29;3D_30;3W_23;3W_24;3W_25;3W_26;4D_35;4D_36;4D_37;4D_38;4W_31;4W_32;4W_33;4W_34;5D_43;5D_44;5D_45;5D_46;5W_39;5W_40;5W_41;5W_42;6D_51;6D_52;6D_53;6D_54;6W_47;6W_48;6W_49;6W_50;7D_59;7D_60;7D_61;7D_62;7W_55;7W_56;7W_57;7W_58;8D_67;8D_68;8D_69;8D_70;8W_63;8W_64;8W_65;8W_66;9D_75;9D_76;9D_77;9D_78;9W_71;9W_72;9W_73;9W_74;10D_83;10D_84;10D_85;10D_86;10W_79;10W_80;10W_81;10W_82;11D_91;11D_92;11D_93;11D_94;11W_87;11W_88;11W_89;11W_90;12D_100;12D_101;12D_102;12D_99;12W_95;12W_96;12W_97;12W_98;13D_107;13D_108;13D_109;13D_110;13W_103;13W_104;13W_105;13W_106
Treatment;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered
Time (days);1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13
2474;69498;50662;67690;62244;59665;60554;83337;76717;92340;142423;160703;109318;113090;109076;110719;112612;65783;69867;68390;87371;66666;84196;60654;115253;;76993;75837;91419;74036;89615;94684;87657;66800;81782;85852;62827;70760;58889;65952;70458;73835;85531;69044;80272;75135;82922;76447;85055;89813;91319;86010;75931;72038;78698;106817;82926;78592;70677;99574;84855;81728;116207;73524;75618;32257;83551;70986;78146;81083;78209;78144;55380;60346;117776;71771;109179;88864;88666;75708;65914;81185;108746;90607;76454;86517;82598;41218;64569;99934;107391;77814;81177;72683;64659;71667;93509;147980;144169;91484;218153;73939;83001;87125;77169
3202;2245;7956;6847;4492;7938;7672;19419;10209;;;0216;;;;;;2877;6579;7619;2442;14212;18527;6666;25314;;9312;5971;13293;15750;20333;15213;12400;10173;23576;16605;4051;17670;6799;16146;12711;10616;8919;9559;14421;16209;16850;10842;14001;5651;10294;7771;6663;4185;10395;17048;17237;7166;2722;8934;13951;12254;18981;9796;18136;6787;4947;12744;16340;11034;13689;6273;7278;12099;32955;11769;17549;30226;40783;20422;15333;27868;10311;11083;24425;17206;8074;4928;14574;5440;12617;11344;7582;6616;6349;20909;17090;8566;10414;2047;14849;5934;9291;8464;15558
3235;;;;0553;;0890;;;;1457;4749;;;;2243;;;;;;1259;1979;0117;2459;;;1511;2687;1661;1504;1363;;0799;;1870;;0951;0882;;1554;1225;1417;2155;1079;1546;1217;1775;;;1568;1233;;0553;0970;1927;2345;;0393;;1446;;2128;;0974;0563;;0979;1427;;;;;;3865;1540;1790;5611;2541;1968;0881;1473;1063;;1246;1052;2562;0495;;;1081;1010;;;;0946;1338;0997;;;1154;;;;
4549;136218;193827;95525;171190;131639;380251;279558;307693;6829;12753;9023;12595;12095;20498;9798;24388;320224;309801;298176;250977;195794;373585;310013;432950;;356357;399311;371231;548123;722200;595779;376386;432384;728261;521623;310007;267284;395749;635518;452723;360046;445741;478087;363789;412982;429256;410680;345728;433075;600926;454850;420082;344169;480029;748756;548137;389683;267101;369023;503195;368322;472432;338895;428061;229160;280386;444485;480438;368280;408153;350640;399481;469763;814578;426763;533818;738136;551316;481898;346911;492371;529314;495282;696997;371061;333194;231591;341252;346432;501344;333901;383109;323544;270562;369708;371333;727183;914412;333491;936805;313355;335442;325245;294540
Abscisic acid (ABA) ;0475;0192;0540;0650;0337;0461;0358;0805;1344;2227;1255;1312;2253;2116;2257;1522;0769;0676;0659;0742;0760;1318;0711;1103;;0868;0798;0734;0915;0972;1840;0892;1083;1291;0797;0671;0927;0390;1013;0892;0720;1078;1351;1520;0610;0785;1004;1158;0616;1759;1177;0660;0756;0671;0980;0777;0681;0707;1485;0568;1066;0955;0724;0662;0419;0526;0961;0497;0715;0632;0907;0475;0672;2258;0913;1600;1083;1968;0968;0714;0784;2023;1851;1589;0897;1224;0323;0856;1460;1088;1633;0571;0761;0435;0699;0737;9547;5296;1799;3962;0744;0755;0668;0610
Adenosine diriboside ;;4025;3490;0999;4168;1159;4883;2299;10418;15310;;5432;16169;2618;16442;14303;3166;2079;0403;4532;4487;3735;1991;3952;;3847;1148;0921;;3806;6497;3168;0906;4060;0376;2276;1712;;5468;3033;2546;1572;4421;;;3295;5851;4061;2045;;1685;4015;0490;1747;;5565;3185;2361;1660;;4308;3597;4205;3147;1623;4113;4103;2989;;3787;3090;;3511;2603;0276;3944;;4015;1871;;0355;4210;1685;3946;3419;5019;2168;3156;3167;2486;3486;2445;3546;2112;;2413;4208;1671;0359;1377;3149;0130;3783;
Agmatine ;67080;60860;67532;30494;13662;38285;37873;59935;9279;5628;1848;3381;8959;14538;21083;10822;16101;27531;43795;14448;33177;249644;47129;102809;;17922;12791;21525;32871;18735;12691;26082;12501;56541;22325;13901;20500;36359;28314;43001;9554;13447;16385;66880;65791;45528;24779;25615;4753;58602;33883;20037;59227;108917;99860;92250;81113;20318;102231;54514;92285;132137;55906;89822;22695;18716;78442;53010;36964;30112;51225;39615;66075;11728;19695;28767;270118;31306;21077;100826;49690;16760;37679;74989;21570;18833;18426;72341;26751;31691;70750;22366;22351;22687;84303;29950;56456;17995;37143;16472;17755;31368;21521;29239
Anth 1 ;1017;1430;1345;0896;1567;1956;2396;1939;1368;1626;3964;1873;1972;2105;2005;2619;1245;1339;1097;1051;2271;2350;1769;3011;;1334;1614;2505;2381;2657;0980;1530;1624;3493;1649;;1181;0773;;1537;1743;1655;1257;1828;1303;2213;1543;1315;0941;1963;1604;1224;1302;1471;1536;1800;1335;1451;1710;1932;1138;1948;0954;2439;1192;0945;1278;2001;1441;1043;1429;0966;1600;3595;1569;2908;1927;2038;1726;1025;2186;5474;3177;2999;1268;1269;0889;1618;2617;4177;1575;0950;1246;1022;1987;1103;15587;12297;2315;28685;1007;1597;1704;1484
