"ID_REF";	"GSM131066";	"GSM131067";	"GSM131068";	"GSM131069";	"GSM131070";	"GSM131071";	"GSM131072";	"GSM131073";	"GSM131074";	"GSM131075";	"GSM131076";	"GSM131077";	"GSM131078"
"244901_at";	1.83482437133789E+001;	2.76937942504883E+001;	1.56955461502075E+001;	1.74232845306396E+001;	2.02727165222168E+001;	2.31491146087646E+001;	1.62989768981934E+001;	2.44762992858887E+001;	2.05491199493408E+001;	1.63625278472900E+001;	1.76368999481201E+001;	1.63828887939453E+001;	2.35597000122070E+001
"244902_at";	1.79878730773926E+001;	1.30447368621826E+001;	1.88482131958008E+001;	2.13172855377197E+001;	1.55492525100708E+001;	1.77499904632568E+001;	1.52498302459717E+001;	2.54000053405762E+001;	1.49991445541382E+001;	2.16735248565674E+001;	2.04043674468994E+001;	1.68855533599854E+001;	1.63290462493896E+001
"244903_at";	1.59547510147095E+001;	1.70174636840820E+001;	1.69620056152344E+001;	1.78407745361328E+001;	1.77306041717529E+001;	1.75744247436523E+001;	1.83126220703125E+001;	1.08528766632080E+001;	1.25176982879639E+001;	2.04641876220703E+001;	1.31151580810547E+001;	2.28735542297363E+001;	1.55682344436646E+001
"244904_at";	2.67564773559570E+000;	1.91988646984100E+000;	3.53145503997803E+000;	3.18772768974304E+000;	1.96353006362915E+000;	2.75042963027954E+000;	3.92467522621155E+000;	4.00734424591064E+000;	6.41881799697876E+000;	2.30718660354614E+000;	2.92191982269287E+000;	7.23892593383789E+000;	4.28192472457886E+000
"244905_at";	9.12627124786377E+000;	1.79214801788330E+001;	9.76589107513428E+000;	1.42200574874878E+001;	4.86404037475586E+000;	2.07648200988770E+001;	7.73047447204590E+000;	9.96785736083984E+000;	1.24535598754883E+001;	1.72027111053467E+001;	1.66020298004150E+001;	2.60491580963135E+001;	1.64103221893311E+001
"244906_at";	3.13691310882568E+001;	1.22200574874878E+001;	4.94592552185059E+001;	4.03466148376465E+001;	2.44597740173340E+001;	3.17947444915771E+001;	3.94916763305664E+001;	3.80036430358887E+001;	3.41844596862793E+001;	4.10698471069336E+001;	3.17454833984375E+001;	1.61382770538330E+001;	2.80229187011719E+001
"244907_at";	1.70311117172241E+000;	2.11128497123718E+000;	2.14362072944641E+000;	1.16407704353333E+000;	2.01555109024048E+000;	8.07189464569092E-001;	1.93336272239685E+000;	4.80139398574829E+000;	1.93141877651215E+000;	1.58552646636963E+000;	1.52370250225067E+000;	2.38715028762817E+000;	1.68472290039063E+000
"244908_at";	8.57219517230988E-001;	1.04774820804596E+000;	9.15475904941559E-001;	6.19867742061615E-001;	5.34880220890045E-001;	1.20792138576508E+000;	6.93920850753784E-001;	1.27253556251526E+000;	9.40037190914154E-001;	4.99025434255600E-001;	7.96749234199524E-001;	1.23990869522095E+000;	9.59569871425629E-001
"244909_at";	1.10803890228271E+001;	6.77502393722534E+000;	6.68210220336914E+000;	1.37114639282227E+001;	1.63155536651611E+001;	5.39658451080322E+000;	2.02879028320313E+001;	2.61978931427002E+001;	1.30452899932861E+001;	6.52394819259644E+000;	9.97848796844482E+000;	1.78540687561035E+001;	1.63396720886230E+001
"244910_s_at";	1.61928939819336E+001;	1.54200963973999E+001;	1.40016431808472E+001;	1.37896308898926E+001;	1.94930515289307E+001;	1.24332933425903E+001;	1.14062566757202E+001;	2.02260360717773E+001;	1.88136310577393E+001;	1.26535453796387E+001;	2.03494358062744E+001;	2.04899253845215E+001;	2.02049751281738E+001
